기온(°C),강수량(mm),풍속(m/s),습도(%),이슬점온도(°C),일조(hr),일사(MJ/m2),시정(10m),지면온도(°C),월,일,시간
-6.6,0.0,1.3,64.0,-12.2,0.0,0.0,2042,-3.5,1,1,1
-6.9,0.0,1.5,68.0,-11.8,0.0,0.0,1871,-3.0,1,1,2
-6.5,0.0,1.4,67.0,-11.6,0.0,0.0,1825,-2.6,1,1,3
-5.7,0.0,0.8,67.0,-10.8,0.0,0.0,1962,-2.3,1,1,4
-5.4,0.0,0.8,66.0,-10.7,0.0,0.0,2000,-2.0,1,1,5
-5.0,0.0,0.3,67.0,-10.1,0.0,0.0,2000,-2.0,1,1,6
-4.9,0.0,1.1,68.0,-9.9,0.0,0.0,1760,-2.1,1,1,7
-4.5,0.0,0.9,69.0,-9.3,0.0,0.0,1658,-1.8,1,1,8
-4.0,0.0,0.4,70.0,-8.6,0.0,0.02,1393,-1.3,1,1,9
-3.5,0.0,0.7,69.0,-8.3,0.0,0.28,1383,-0.4,1,1,10
-2.3,0.0,0.3,66.0,-7.8,0.0,0.69,1801,0.0,1,1,11
-1.3,0.0,0.3,67.0,-6.6,0.1,0.85,1304,1.0,1,1,12
0.6,0.0,0.6,61.0,-6.0,0.3,1.14,1775,1.2,1,1,13
1.0,0.0,1.7,62.0,-5.4,0.0,0.61,1333,1.2,1,1,14
0.3,0.0,0.7,70.0,-4.5,0.0,0.64,1017,1.1,1,1,15
0.6,0.0,0.6,70.0,-4.2,0.0,0.3,1050,0.5,1,1,16
0.3,0.0,0.0,72.0,-4.1,0.0,0.12,1050,-0.2,1,1,17
0.1,0.0,0.1,76.0,-3.6,0.0,0.02,869,0.0,1,1,18
0.1,0.0,0.0,79.0,-3.1,0.0,0.0,761,0.0,1,1,19
0.0,0.0,0.2,80.0,-3.0,0.0,0.0,714,0.0,1,1,20
-0.4,0.0,0.2,81.0,-3.2,0.0,0.0,605,0.0,1,1,21
-0.4,0.0,0.2,81.0,-3.2,0.0,0.0,620,0.0,1,1,22
-0.3,0.0,0.3,80.0,-3.3,0.0,0.0,652,0.0,1,1,23
-0.4,0.0,0.8,81.0,-3.2,0.0,0.0,595,0.0,1,2,0
-0.5,0.0,0.0,82.0,-3.2,0.0,0.0,564,0.0,1,2,1
